trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.03, 'e': 0.06856315415427792}",20,14,12.199203775028536,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.03, 'e': 0.06587475442640296}",20,11,-28.44828063453133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.03, 'e': 0.06329176835964072}",20,14,7.478851374211468,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.03, 'e': 0.06081006262521796}",25,13,-22.082729868300373,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.03, 'e': 0.058425665964500835}",35,18,23.219358127121847,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.03, 'e': 0.05613476283413374}",30,16,-17.830586861128708,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.03, 'e': 0.053933687300356026}",25,12,24.98893569533206,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.03, 'e': 0.05181891717272584}",25,10,-20.703444752954578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.03, 'e': 0.04978706836786395}",25,0,30.870017020976796,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.03, 'e': 0.047834889494198375}",20,14,9.557950309286472,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.03, 'e': 0.04595925664904421}",25,10,21.549241713221782,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.03, 'e': 0.04415716841969287}",20,15,7.659879153051238,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.03, 'e': 0.04242574108051139}",20,2,-9.332332035535815,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.03, 'e': 0.04076220397836622}",20,3,27.280729902434977,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.03, 'e': 0.03916389509898707}",30,13,21.878030104077,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.03, 'e': 0.03762825680717621}",25,8,30.650182832973826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.03, 'e': 0.03615283175404641}",25,16,16.077892138277132,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.03, 'e': 0.03473525894473857}",20,10,18.35342375139252,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.03, 'e': 0.03337326996032609}",30,1,29.565718087552757,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.03, 'e': 0.032064685327860776}",20,16,6.348162263437056,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.03, 'e': 0.030807411032751083}",25,18,4.4555482237037625,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.03, 'e': 0.029599435167892006}",25,13,7.239041876281018,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.03, 'e': 0.02843882471418451}",30,13,23.49458943276965,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.03, 'e': 0.027323722447292562}",30,13,-13.958987309210304,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.03, 'e': 0.026252343965687965}",30,0,46.792238964004355,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.03, 'e': 0.025222974835227216}",25,11,23.835543763805045,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.03, 'e': 0.024233967845691116}",30,14,14.457652860508407,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.03, 'e': 0.023283740374897003}",25,16,17.374834861139753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.03, 'e': 0.022370771856165594}",20,6,20.027438736505708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.03, 'e': 0.021493601345089926}",20,2,26.856079477356786,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.03, 'e': 0.02065082518171257}",20,11,18.26072210120259,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.03, 'e': 0.01984109474437029}",20,11,15.358446571969832,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.03, 'e': 0.01906311429161164}",30,16,21.106006487589056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.03, 'e': 0.018315638888734186}",20,12,13.666167735785116,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.03, 'e': 0.017597472415623396}",20,14,10.130947130768668,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.03, 'e': 0.016907465652705282}",35,25,20.97878944134323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.03, 'e': 0.016244514441949874}",25,7,27.78484557462772,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.03, 'e': 0.015607557919982834}",30,0,37.776482927373614,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.03, 'e': 0.014995576820477707}",30,17,22.385595141040554,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.03, 'e': 0.014407591843112353}",20,0,30.0597548054856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.03, 'e': 0.013842662086479504}",25,11,20.76031491496991,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.03, 'e': 0.01329988354244377}",25,11,23.292857596775594,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.03, 'e': 0.012778387649535764}",30,16,31.550560974711324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.03, 'e': 0.01227733990306844}",20,8,2.2563066547111923,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.03, 'e': 0.011795938519751564}",25,4,35.39120917515611,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.03, 'e': 0.01133341315466739}",30,23,10.906911182020554,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.03, 'e': 0.010889023668554444}",30,19,20.432508335529707,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.03, 'e': 0.010462058943426797}",20,6,23.13890523888969,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.03, 'e': 0.010051835744633579}",35,9,45.27567342946495,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.03, 'e': 0.00965769762753778}",30,4,39.0123926083247,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.03, 'e': 0.009279013887064745}",20,9,21.94384082297657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.03, 'e': 0.008915178548439555}",20,14,7.579620408505455,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.03, 'e': 0.008565609397498062}",25,3,23.31683156249162,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.03, 'e': 0.008229747049020032}",30,23,11.81602435870274,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.03, 'e': 0.007907054051593443}",20,0,29.068634041617866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.03, 'e': 0.00759701402757757}",30,20,17.833910891153185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.03, 'e': 0.007299130846788585}",25,11,24.680237070324925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.03, 'e': 0.007012927832585426}",20,5,23.373936279706708,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.03, 'e': 0.006737946999085469}",20,13,13.747575105692249,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.03, 'e': 0.006473748318289407}",25,17,13.41641532504418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.03, 'e': 0.0062199090159425745}",20,5,24.893618698582177,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.03, 'e': 0.0059760228950059445}",25,2,34.92929205926568,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
